 D  hide(ime(), fromIme=false)
2025-11-16 22:07:19.154 10981-10981 ImeTracker              com.cdccreditsmart.app               I  com.cdccreditsmart.app:7d573a46: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2025-11-16 22:07:21.124 10981-10981 VRI[MainActivity]       com.cdccreditsmart.app               D  visibilityChanged oldVisibility=true newVisibility=false
2025-11-16 22:07:23.218 10981-11007 FA                      com.cdccreditsmart.app               I  Application backgrounded at: timestamp_millis: 1763341641216
2025-11-16 22:07:23.624 10981-10981 WebSocketManager        com.cdccreditsmart.app               D  Heartbeat ping sent
2025-11-16 22:07:23.625 10981-10981 WebSocketManager        com.cdccreditsmart.app               D  Heartbeat ping sent
2025-11-16 22:07:23.635 10981-11020 MdmCommandReceiver      com.cdccreditsmart.app               D  🔍 [Polling #2] Verificando comandos pendentes...
2025-11-16 22:07:23.636 10981-11020 SecureTokenStorage      com.cdccreditsmart.app               D  ✅ Using serialNumber for MDM commands: EMULATOR36...
2025-11-16 22:07:23.636 10981-11020 MdmCommandReceiver      com.cdccreditsmart.app               D  ✅ SerialNumber MDM obtido: EMULATOR36...
2025-11-16 22:07:23.636 10981-11020 MdmCommandReceiver      com.cdccreditsmart.app               D  🔍 Buscando comandos pendentes para serialNumber: EMULATOR36...
2025-11-16 22:07:23.638 10981-11061 okhttp.OkHttpClient     com.cdccreditsmart.app               I  --> GET https://cdccreditsmart.com/api/apk/device/EMULATOR36X2X12X0/commands
2025-11-16 22:07:23.638 10981-11061 okhttp.OkHttpClient     com.cdccreditsmart.app               I  --> END GET
2025-11-16 22:07:23.642 10981-11020 MdmCommandReceiver      com.cdccreditsmart.app               D  🔍 [Polling #2] Verificando comandos pendentes...
2025-11-16 22:07:23.643 10981-11020 SecureTokenStorage      com.cdccreditsmart.app               D  ✅ Using serialNumber for MDM commands: EMULATOR36...
2025-11-16 22:07:23.643 10981-11020 MdmCommandReceiver      com.cdccreditsmart.app               D  ✅ SerialNumber MDM obtido: EMULATOR36...
2025-11-16 22:07:23.643 10981-11020 MdmCommandReceiver      com.cdccreditsmart.app               D  🔍 Buscando comandos pendentes para serialNumber: EMULATOR36...
2025-11-16 22:07:23.647 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  --> GET https://cdccreditsmart.com/api/apk/device/EMULATOR36X2X12X0/commands
2025-11-16 22:07:23.647 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  --> END GET
2025-11-16 22:07:23.790 10981-11026 WebSocketManager        com.cdccreditsmart.app               D  Message received: {"type":"pong","timestamp":"2025-11-17T01:07:26.391Z"}...
2025-11-16 22:07:23.790 10981-11026 WebSocketManager        com.cdccreditsmart.app               D  Received message type: pong
2025-11-16 22:07:23.790 10981-11026 WebSocketManager        com.cdccreditsmart.app               D  Pong received
2025-11-16 22:07:23.793 10981-11027 WebSocketManager        com.cdccreditsmart.app               D  Message received: {"type":"pong","timestamp":"2025-11-17T01:07:26.392Z"}...
2025-11-16 22:07:23.793 10981-11027 WebSocketManager        com.cdccreditsmart.app               D  Received message type: pong
2025-11-16 22:07:23.793 10981-11027 WebSocketManager        com.cdccreditsmart.app               D  Pong received
2025-11-16 22:07:23.931 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  <-- 404 https://cdccreditsmart.com/api/apk/device/EMULATOR36X2X12X0/commands (283ms)
2025-11-16 22:07:23.931 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-credentials: true
2025-11-16 22:07:23.931 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-headers: Origin, X-Requested-With, Content-Type, Accept, Authorization, x-client-key, x-client-token, x-client-secret, cache-control
2025-11-16 22:07:23.931 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-methods: GET, POST, PUT, PATCH, DELETE, OPTIONS
2025-11-16 22:07:23.931 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-origin: *
2025-11-16 22:07:23.931 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-max-age: 86400
2025-11-16 22:07:23.932 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  content-length: 39
2025-11-16 22:07:23.932 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  content-security-policy: default-src 'self'; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://replit.com; style-src 'self' 'unsafe-inline' https://replit.com; img-src 'self' data: https:; font-src 'self' data: https://replit.com; connect-src 'self';
2025-11-16 22:07:23.932 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  content-type: application/json; charset=utf-8
2025-11-16 22:07:23.932 10981-11063 okhttp.OkHttpClient     com.cdccreditsmart.app               I  date: Mon, 17 Nov 2025 01:07:26 GMT
