2026-02-04 22:56:22.821 17788-17788 NavController           com.cdccreditsmart.app               I  Ignoring popBackStack to route pairing/qr_scanner as it was not found on the current back stack
2026-02-04 22:56:22.825 17788-17788 WindowOnBackDispatcher  com.cdccreditsmart.app               W  sendCancelIfRunning: isInProgress=false callback=androidx.activity.OnBackPressedDispatcher$Api34Impl$createOnBackAnimationCallback$1@af4af06
2026-02-04 22:56:22.868 17788-17788 TermsScreen             com.cdccreditsmart.app               I  🚀 TermsAcceptanceScreen INICIANDO - contractCode=PSM9JT96
2026-02-04 22:56:22.868 17788-17788 TermsScreen             com.cdccreditsmart.app               I  ✅ Context obtido
2026-02-04 22:56:22.868 17788-17788 TermsScreen             com.cdccreditsmart.app               I  ✅ Scope criado
2026-02-04 22:56:22.881 17788-17788 TermsScreen             com.cdccreditsmart.app               I  ✅ Estados inicializados, preparando LaunchedEffect
2026-02-04 22:56:22.934 17788-17788 TermsScreen             com.cdccreditsmart.app               I  🔄 LaunchedEffect INICIANDO
2026-02-04 22:56:22.934 17788-17788 TermsScreen             com.cdccreditsmart.app               I  📄 Iniciando carregamento de termos...
2026-02-04 22:56:22.935 17788-17981 TermsScreen             com.cdccreditsmart.app               I  🔧 Criando SupportRepository...
2026-02-04 22:56:22.937 17788-17981 TermsScreen             com.cdccreditsmart.app               I  ✅ SupportRepository criado
2026-02-04 22:56:22.952 17788-17788 TermsScreen             com.cdccreditsmart.app               I  📡 Chamando getContractTerms...
2026-02-04 22:56:22.961 17788-17981 NetworkConnectivity     com.cdccreditsmart.app               D  ✅ Conectado via WiFi com internet
2026-02-04 22:56:22.961 17788-17981 SupportRepository       com.cdccreditsmart.app               I  📡 Buscando termos do servidor (version=latest)...
2026-02-04 22:56:23.032 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  --> GET https://cdccreditsmart.com/v1/contract/terms?version=latest
2026-02-04 22:56:23.032 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  --> END GET
2026-02-04 22:56:23.397 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  <-- 200 https://cdccreditsmart.com/v1/contract/terms?version=latest (364ms)
2026-02-04 22:56:23.398 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-credentials: true
2026-02-04 22:56:23.398 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-headers: Origin, X-Requested-With, Content-Type, Accept, Authorization, x-client-key, x-client-token, x-client-secret, cache-control
2026-02-04 22:56:23.398 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-methods: GET, POST, PUT, PATCH, DELETE, OPTIONS
2026-02-04 22:56:23.398 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-origin: *
2026-02-04 22:56:23.398 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-max-age: 86400
2026-02-04 22:56:23.398 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  content-length: 6438
2026-02-04 22:56:23.398 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  content-security-policy: default-src 'self'; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://replit.com; style-src 'self' 'unsafe-inline' https://replit.com; img-src 'self' data: https:; font-src 'self' data: https://replit.com; connect-src 'self';
2026-02-04 22:56:23.398 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  content-type: application/json; charset=utf-8
2026-02-04 22:56:23.398 17788-18430 okhttp.OkHttpClient     com.cdccreditsmart.app               I  date: Thu, 05 Feb 2026 01:56:23 GMT
