2025-12-08 17:13:21.997 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               D  💓 Ping JSON enviado (timestamp: 1765224801996)
2025-12-08 17:13:22.199 11569-11817 MdmCommandReceiver      com.cdccreditsmart.app               D  📥 Mensagem MDM recebida: {"type":"pong","timestamp":"2025-12-08T20:13:24.174Z"}
2025-12-08 17:13:22.201 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               D  📥 JSON recebido: {"type":"pong","timestamp":"2025-12-08T20:13:24.174Z"}
2025-12-08 17:13:22.201 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               D  📨 Tipo de mensagem: pong
2025-12-08 17:13:22.206 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               D  💓 Pong recebido (latency: N/A)
2025-12-08 17:13:26.278 11569-11569 WebSocketManager        com.cdccreditsmart.app               D  Heartbeat ping sent
2025-12-08 17:13:26.476 11569-11809 WebSocketManager        com.cdccreditsmart.app               D  Message received: {"type":"pong","timestamp":"2025-12-08T20:13:28.455Z"}...
2025-12-08 17:13:26.476 11569-11809 WebSocketManager        com.cdccreditsmart.app               D  Received message type: pong
2025-12-08 17:13:26.476 11569-11809 WebSocketManager        com.cdccreditsmart.app               D  Pong received
2025-12-08 17:13:26.733 11569-11569 ViewRootImpl            com.cdccreditsmart.app               D  Skipping stats log for color mode
2025-12-08 17:13:26.735 11569-11569 MainActivity            com.cdccreditsmart.app               D  ========== NEW INTENT RECEIVED ==========
2025-12-08 17:13:26.894 11569-11569 InsetsController        com.cdccreditsmart.app               D  hide(ime(), fromIme=false)
2025-12-08 17:13:26.894 11569-11569 ImeTracker              com.cdccreditsmart.app               I  com.cdccreditsmart.app:c4300ea8: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
2025-12-08 17:13:26.933 11569-11569 Choreographer           com.cdccreditsmart.app               W  Frame time is 0.341167 ms in the future!  Check that graphics HAL is generating vsync timestamps using the correct timebase.
2025-12-08 17:13:26.967 11569-11569 Choreographer           com.cdccreditsmart.app               W  Frame time is 0.176997 ms in the future!  Check that graphics HAL is generating vsync timestamps using the correct timebase.
2025-12-08 17:13:27.163 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               D  💓 Ping JSON enviado (timestamp: 1765224807163)
2025-12-08 17:13:27.364 11569-11992 MdmCommandReceiver      com.cdccreditsmart.app               D  📥 Mensagem MDM recebida: {"type":"pong","timestamp":"2025-12-08T20:13:29.340Z"}
2025-12-08 17:13:27.364 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               D  📥 JSON recebido: {"type":"pong","timestamp":"2025-12-08T20:13:29.340Z"}
2025-12-08 17:13:27.365 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               D  📨 Tipo de mensagem: pong
2025-12-08 17:13:27.365 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               D  💓 Pong recebido (latency: N/A)
2025-12-08 17:13:27.539 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               I  🔍 [Polling #2] Verificando comandos pendentes...
2025-12-08 17:13:27.540 11569-11609 SecureTokenStorage      com.cdccreditsmart.app               D  ⚠️ Usando Serial Number para MDM (IMEI indisponível): XV8W57...
2025-12-08 17:13:27.540 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               I  🔍 ========================================
2025-12-08 17:13:27.540 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               I  🔍 BUSCANDO COMANDOS PENDENTES
2025-12-08 17:13:27.540 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               I  🔍 ========================================
2025-12-08 17:13:27.540 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               I  🔍 Identifier: XV8W5766
2025-12-08 17:13:27.540 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               I  🔍 Endpoint: GET /api/apk/device/XV8W5766/commands
2025-12-08 17:13:27.540 11569-11609 MdmCommandReceiver      com.cdccreditsmart.app               D  🔍 Executando requisição HTTP (timeout: 15s)...
2025-12-08 17:13:27.541 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  --> GET https://cdccreditsmart.com/api/apk/device/XV8W5766/commands
2025-12-08 17:13:27.541 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  --> END GET
2025-12-08 17:13:27.563 11569-11793 SecureTokenStorage      com.cdccreditsmart.app               D  EncryptedSharedPreferences initialized successfully
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  <-- 200 https://cdccreditsmart.com/api/apk/device/XV8W5766/commands (642ms)
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-credentials: true
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-headers: Origin, X-Requested-With, Content-Type, Accept, Authorization, x-client-key, x-client-token, x-client-secret, cache-control
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-methods: GET, POST, PUT, PATCH, DELETE, OPTIONS
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-allow-origin: *
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  access-control-max-age: 86400
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  content-length: 13558
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  content-security-policy: default-src 'self'; script-src 'self' 'unsafe-inline' 'unsafe-eval' https://replit.com; style-src 'self' 'unsafe-inline' https://replit.com; img-src 'self' data: https:; font-src 'self' data: https://replit.com; connect-src 'self';
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  content-type: application/json; charset=utf-8
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  date: Mon, 08 Dec 2025 20:13:30 GMT
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  etag: W/"34f6-NarrW882crKyXHpQ2lsEmk9O+oc"
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  permissions-policy: geolocation=(), microphone=(), camera=()
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  referrer-policy: strict-origin-when-cross-origin
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  strict-transport-security: max-age=63072000; includeSubDomains
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  strict-transport-security: max-age=31536000; includeSubDomains
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  x-anti-fraud-protection: active
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  x-certificate-pinning-enabled: false
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  x-certificate-pinning-status: disabled-for-stability
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  x-content-type-options: nosniff
2025-12-08 17:13:28.184 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  x-financial-data-protection: enabled
2025-12-08 17:13:28.185 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  x-frame-options: DENY
2025-12-08 17:13:28.185 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  x-transaction-security-level: maximum
2025-12-08 17:13:28.185 11569-11793 okhttp.OkHttpClient     com.cdccreditsmart.app               I  x-xss-protection: 1; mode=block
